Provincia,Canton,Distrito,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
San Jose,San Jose,Carmen,2702,1181,1521
San Jose,San Jose,Merced,12257,5886,6371
San Jose,San Jose,Hospital,19270,9364,9906
San Jose,San Jose,Catedral,12936,6100,6836
San Jose,San Jose,Zapote,18679,8690,9989
San Jose,San Jose,San Francisco de Dos Rios,20209,9435,10774
San Jose,San Jose,Uruca,31728,15294,16434
San Jose,San Jose,Mata Redonda,8313,3726,4587
San Jose,San Jose,Pavas,71384,33878,37506
San Jose,San Jose,Hatillo,50511,23755,26756
San Jose,San Jose,San Sebastian,40065,19062,21003
San Jose,Escazu,Escazu,11984,5530,6454
San Jose,Escazu,San Antonio,22554,10993,11561
San Jose,Escazu,San Rafael,21971,10137,11834
San Jose,Desamparados,Desamparados,33866,16047,17819
San Jose,Desamparados,San Miguel,31805,15468,16337
San Jose,Desamparados,San Juan de Dios,19481,9296,10185
San Jose,Desamparados,San Rafael Arriba,15262,7072,8190
San Jose,Desamparados,San Antonio,9727,4610,5117
San Jose,Desamparados,Frailes,3772,1926,1846
San Jose,Desamparados,Patarra,11921,5860,6061
San Jose,Desamparados,San Cristobal,3905,1920,1985
San Jose,Desamparados,Rosario,3088,1531,1557
San Jose,Desamparados,Damas,13175,6309,6866
San Jose,Desamparados,San Rafael Abajo,23283,11066,12217
San Jose,Desamparados,Gravilias,15024,7146,7878
San Jose,Desamparados,Los Guido,24102,11723,12379
San Jose,Puriscal,Santiago,11512,5641,5871
San Jose,Puriscal,Mercedes Sur,5866,2971,2895
San Jose,Puriscal,Barbacoas,3692,1847,1845
San Jose,Puriscal,Grifo Alto,1182,594,588
San Jose,Puriscal,San Rafael,1730,873,857
San Jose,Puriscal,Candelarita,1436,750,686
San Jose,Puriscal,Desamparaditos,666,336,330
San Jose,Puriscal,San Antonio,3889,1940,1949
San Jose,Puriscal,Chires,3031,1613,1418
San Jose,Tarrazu,San Marcos,9993,4903,5090
San Jose,Tarrazu,San Lorenzo,4394,2222,2172
San Jose,Tarrazu,San Carlos,1893,966,927
San Jose,Aserri,Aserri,28191,13626,14565
San Jose,Aserri,Tarbaca,1446,754,692
San Jose,Aserri,Vuelta de Jorco,6499,3191,3308
San Jose,Aserri,San Gabriel,6061,3017,3044
San Jose,Aserri,Legua,1521,762,759
San Jose,Aserri,Monterrey,498,242,256
San Jose,Aserri,Salitrillos,13676,6738,6938
San Jose,Mora,Colon,16088,7744,8344
San Jose,Mora,Guayabo,4449,2122,2327
San Jose,Mora,Tabarcia,4703,2296,2407
San Jose,Mora,Piedras Negras,379,201,178
San Jose,Mora,Picagres,675,351,324
San Jose,Goicoechea,Guadalupe,20663,9591,11072
San Jose,Goicoechea,San Francisco,2032,924,1108
San Jose,Goicoechea,Calle Blancos,18984,8899,10085
San Jose,Goicoechea,Mata de Platano,17370,8356,9014
San Jose,Goicoechea,Ipis,26033,12341,13692
San Jose,Goicoechea,Rancho Redondo,2538,1240,1298
San Jose,Goicoechea,Purral,27464,12918,14546
San Jose,Santa Ana,Santa Ana,11320,5379,5941
San Jose,Santa Ana,Salitral,4304,2084,2220
San Jose,Santa Ana,Pozos,15585,7408,8177
San Jose,Santa Ana,Uruca,7200,3495,3705
San Jose,Santa Ana,Piedades,8128,3859,4269
San Jose,Santa Ana,Brasil,2586,1274,1312
San Jose,Alajuelita,Alajuelita,11988,5780,6208
San Jose,Alajuelita,San Josecito,10506,5129,5377
San Jose,Alajuelita,San Antonio,4739,2330,2409
San Jose,Alajuelita,Concepcion,18721,8928,9793
San Jose,Alajuelita,San Felipe,31649,15180,16469
San Jose,Vazquez de Coronado,San Isidro,16625,7964,8661
San Jose,Vazquez de Coronado,San Rafael,7040,3461,3579
San Jose,Vazquez de Coronado,Dulce Nombre de Jesus,9744,4734,5010
San Jose,Vazquez de Coronado,Patalillo,20349,9745,10604
San Jose,Vazquez de Coronado,Cascajal,6728,3243,3485
San Jose,Acosta,San Ignacio,9016,4455,4561
San Jose,Acosta,Guaitil,2406,1243,1163
San Jose,Acosta,Palmichal,4581,2267,2314
San Jose,Acosta,Cangrejal,1875,987,888
San Jose,Acosta,Sabanillas,2331,1265,1066
San Jose,Tibas,San Juan,21745,10002,11743
San Jose,Tibas,Cinco Esquinas,5925,2897,3028
San Jose,Tibas,Anselmo Llorente,9986,4574,5412
San Jose,Tibas,Leon XIII,13661,6445,7216
San Jose,Tibas,Colima,13525,6346,7179
San Jose,Moravia,San Vicente,30998,14207,16791
San Jose,Moravia,San Jeronimo,6154,3083,3071
San Jose,Moravia,La Trinidad,19767,9451,10316
San Jose,Montes de Oca,San Pedro,23977,11092,12885
San Jose,Montes de Oca,Sabanilla,10775,5032,5743
San Jose,Montes de Oca,Mercedes,4688,2138,2550
San Jose,Montes de Oca,San Rafael,9692,4648,5044
San Jose,Turrubares,San Pablo,1357,678,679
San Jose,Turrubares,San Pedro,646,336,310
San Jose,Turrubares,San Juan de Mata,1182,625,557
San Jose,Turrubares,San Luis,517,265,252
San Jose,Turrubares,Carara,1810,948,862
San Jose,Dota,Santa Maria,4621,2240,2381
San Jose,Dota,Jardin,524,272,252
San Jose,Dota,Copey,1803,887,916
San Jose,Curridabat,Curridabat,28817,13333,15484
San Jose,Curridabat,Granadilla,14778,6999,7779
San Jose,Curridabat,Sanchez,5364,2409,2955
San Jose,Curridabat,Tirrases,16247,7849,8398
San Jose,Perez Zeled'on,San Isidro de El General,45327,21358,23969
San Jose,Perez Zeled'on,El General,6373,3137,3236
San Jose,Perez Zeled'on,Daniel Flores,33537,16148,17389
San Jose,Perez Zeled'on,Rivas,6591,3306,3285
San Jose,Perez Zeled'on,San Pedro,9102,4487,4615
San Jose,Perez Zeled'on,Platanares,7203,3665,3538
San Jose,Perez Zeled'on,Pejibaye,7995,4038,3957
San Jose,Perez Zeled'on,Cajon,8542,4229,4313
San Jose,Perez Zeled'on,Baru,2393,1212,1181
San Jose,Perez Zeled'on,Rio Nuevo,3061,1574,1487
San Jose,Perez Zeled'on,Paramo,4410,2235,2175
San Jose,Leon Cort'es Castro,San Pablo,4209,2040,2169
San Jose,Leon Cort'es Castro,San Andres,1578,788,790
San Jose,Leon Cort'es Castro,Llano Bonito,2111,1094,1017
San Jose,Leon Cort'es Castro,San Isidro,1531,792,739
San Jose,Leon Cort'es Castro,Santa Cruz,1665,863,802
San Jose,Leon Cort'es Castro,San Antonio,1106,563,543
Alajuela,Alajuela,Alajuela,42975,20440,22535
Alajuela,Alajuela,San Jose,41656,20018,21638
Alajuela,Alajuela,Carrizal,6856,3421,3435
Alajuela,Alajuela,San Antonio,24971,12184,12787
Alajuela,Alajuela,Guacima,20183,10017,10166
Alajuela,Alajuela,San Isidro,17294,8584,8710
Alajuela,Alajuela,Sabanilla,9059,4508,4551
Alajuela,Alajuela,San Rafael,26248,14176,12072
Alajuela,Alajuela,Rio Segundo,10794,5277,5517
Alajuela,Alajuela,Desamparados,26109,12797,13312
Alajuela,Alajuela,Turrucares,7630,3868,3762
Alajuela,Alajuela,Tambor,10992,5406,5586
Alajuela,Alajuela,Garita,7277,3659,3618
